wavenumbers,absorbance
1637.5945693457484,0.3440658544322446
1647.1309498284731,0.35792611202604263
1663.0249172996812,0.31481207106481435
1675.7400912766477,0.22924110407655718
1688.455265253614,0.22880302745375047
1698.698044290615,0.25682776251830575
1714.945211038961,0.2704568130056231
1726.6007871845134,0.22748879758533036
1738.6802024626315,0.22707262479366364
1752.0311351384462,0.22661264433971695
1764.7463091154127,0.22617456771691025
1777.6734026586619,0.22572918981705925
1800.984554949767,0.22492604934191007
1815.6070050232784,0.22442226122568343
1847.3949399656944,0.3084599600341136
1860.1101139426607,0.2228889930458564
1867.5272987625578,0.13750055798377048
1880.2424727395244,0.13706248136096377
2090.0428433594707,0.21496710745010006
2102.7580173364368,0.21452903082729335
2123.9499739647144,0.2137989031226155
2135.605550110267,0.21339733288504448
2145.1419305929917,0.21306877541793767
2166.333887221269,0.21233864771325983
2208.717800477824,0.12574550193845369
2224.258568671894,0.125210074955028
2238.3865397574123,0.14174990122499764
2311.498790124969,0.20733727293621484
2321.035170607694,0.20700871546911515
2340.8143301274195,0.2063272629447468
2357.0614968757654,0.24833394355388094
2375.427859286939,0.23351235114892432
2395.2070188066646,0.24701971368546083
2403.6838014579757,0.204161217420868
2426.9949537490807,0.11822518658027548
2605.0073894266106,0.14046974398279843
2623.232472126929,0.2306502505465815
2635.382527260475,0.2813113782151717
2646.6849041288897,0.36605486713812496
2664.3448679857875,0.2803135370187775
2674.9408462999263,0.2799484731664421
2687.6560202768924,0.2795103965436354
2701.077592808135,0.4493137630615678
2716.0532421587845,0.41474465000408145
2733.4306465939717,0.6014383040902302
2745.721981438373,0.7287141655696914
2760.2384717287428,0.8303734965305196
2777.721835947071,1.3086436494798122
2790.4370099240377,1.0208820678736217
2803.1521839010043,1.020443991250815
2810.5693687209014,1.2117374498764377
2826.463336192109,1.7219871962906126
2837.412513783386,2.686449387784947
2843.416901494731,3.5730434595753735
2847.655292820387,4.339093447323478
2848.7148906518005,5.083969731635925
2850.834086314628,5.679826951423593
2852.9532819774563,6.360817061576711
2855.072477640284,7.041807171729829
2857.1916733031117,7.9781959529792985
2859.3108689659393,8.914584734228761
2861.430064628767,10.063805741391853
2865.6684559544224,11.106537622827659
2865.6684559544224,12.362247755718023
2867.78765161725,13.596601653246559
2869.906847280078,14.703256215226922
2881.5624234256306,17.17170846558735
2886.8604125827,17.895155501767498
2893.217999571183,20.9810037392036
2893.217999571183,23.151892443522538
2893.217999571183,19.85299294186141
2899.575586559666,18.263626616728303
2901.6947822224943,16.085570492108438
2901.6947822224943,17.043315508719736
2903.813977885322,14.318990004254921
2908.0523692109773,19.873765075059502
2910.171564873805,22.065863989199325
2908.0523692109773,17.809292483697376
2912.2907605366327,24.57721124220959
2914.4099561994603,26.833159824123506
2916.529151862288,28.62087750902746
2918.648347525116,30.49372808429686
2920.767543187944,32.32401221438353
2922.8867388507715,34.15429634447021
2930.3039236706686,33.47297767684998
2929.2443258392545,35.516203552005976
2933.48271716491,34.83499440354146
2935.601912827738,36.197047636618166
2945.491492587601,33.44407678853982
2941.959499816221,32.706380093323375
2944.0786954790487,30.833383492513036
2950.4362824675322,35.38777408875313
2948.317086804704,31.471734144712965
2953.6150759617735,37.8778016127868
2954.6746737931876,36.53692208314575
2958.913065118843,34.557436356608136
2958.913065118843,30.918005293485212
2965.270652107326,33.578189079094074
2970.2154419872572,35.259393300680586
2965.270652107326,31.726548713645567
2972.687836927223,37.74944516230441
2975.866630421465,36.5787584006238
2980.10502174712,34.68440556445163
2980.10502174712,35.429318355149306
2986.4626087356037,33.13051127697079
2988.5818043984314,31.959861021675405
2997.058587049742,30.256911163284567
2994.9393913869144,29.21410626907829
3005.5353697010532,31.51232924509306
3009.7737610267086,30.76727042885445
3011.8929566895363,28.532459043990958
3016.8377465694675,26.858008503672714
3020.3697393408474,25.382250049387494
3026.7273263293305,23.16857586157443
3026.7273263293305,24.019904765228915
