#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
104000,-83462.11590401182,15630.430356683675,-67831.68554732815,300.85759291504553,0.9783325688988487
105000,-83398.8051636988,15414.248940171208,-67984.55622352759,296.6964905576114,0.9791220319248267
106000,-83403.11704380618,15492.198328119703,-67910.91871568648,298.19687568407454,0.9752536486821856
107000,-83388.62886065239,15683.591631960124,-67705.03722869226,301.8808515810571,0.9939746570886999
108000,-83138.5878041471,15546.54856162949,-67592.03924251761,299.2430196516419,0.9905404834892857
109000,-83093.05527175032,15436.289724017028,-67656.76554773329,297.120735893312,0.9851547761851362
110000,-82727.14611202304,15877.437296394084,-66849.70881562895,305.6120309963238,0.9697015560879175
111000,-82972.17054199305,15877.59170231456,-67094.57883967849,305.6150030318025,0.9804229643729379
112000,-82881.8500261865,15902.252670291811,-66979.59735589469,306.0896821862007,0.9847190119474788
113000,-82991.33852607233,15593.347599639324,-67397.990926433,300.14381672536786,0.981871331232313
114000,-82691.6404072899,15637.277817679511,-67054.36258961039,300.9893941889565,0.9834059813481676
115000,-83270.14564655465,15834.409938307479,-67435.73570824717,304.7838319584199,0.9879615267684351
116000,-83058.77778330911,15543.089247544296,-67515.68853576481,299.17643409481076,0.990412952084252
117000,-83224.11143417889,15695.155470661717,-67528.95596351718,302.10343461922224,0.9868624297859044
118000,-82855.6723042946,15648.333614837145,-67207.33868945745,301.2021983437174,0.9877876674170593
