#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
72000,-83427.22983410285,15524.319492505223,-67902.91034159763,298.81515016392746
73000,-83116.56415225647,15419.62972726021,-67696.93442499626,296.8000610041471
74000,-82818.01869420696,15811.72238828498,-67006.29630592198,304.3471375403427
75000,-82754.94003406039,15451.856411339482,-67303.08362272091,297.4203665477866
76000,-82892.44442150352,15696.844915338792,-67195.59950616473,302.1359533821295
77000,-83032.91627896106,15613.2328745774,-67419.68340438366,300.52657240232617
78000,-83349.4464103193,15825.043792220415,-67524.40261809889,304.60355053926884
79000,-83332.5291042251,15512.148472311208,-67820.3806319139,298.58087997716154
80000,-83165.6341009853,15694.544245475205,-67471.0898555101,302.0916696368035
81000,-82892.29855741747,15512.405128786195,-67379.89342863127,298.5858201513928
82000,-83273.63587239402,15832.091907587368,-67441.54396480665,304.7392140479184
83000,-83617.52527861611,15656.22017851891,-67961.3051000972,301.35400047017976
84000,-83756.28941747092,15674.04373397585,-68082.24568349507,301.6970717656972
